Code Famille,Libellé étendu nouvelle nomenclature achat,RFD niveau 2,Type de dépenses,,,,,,,Code Famille,Principales familles utilisées au LKB
CA.32,COMMUNICATION : SERVICES AUDIOVISUELS D'INGENIERIE DU SON,B11,62380000,,,,,,,,
CA.33,COMMUNICATION : SERVICES AUDIOVISUELS D'INGENIERIE DE L'IMAGE,B11,62380000,,,,,,,,
CA.34,COMMUNICATION : SERVICES DE PRODUCTION AUDIOVISUELLE,C3,62380000,,,,,,,,
CA.35,"COMMUNICATION : DIFFUSION, DISTRIBUTION ET PROMOTION AUDIOVISUELLES",B11,62370000,,,,,,,,
CB,COMMUNICATION : COMMUNICATION EVENEMENTIELLE ET INSTITUTIONNELLE,,,,,,,,,,
CB.0,COMMUNICATION : MATERIEL ET EQUIPEMENTS POUR LA COMMUNICATION EVENEMENTIELLE ET INSTITUTIONNELLE,,,,,,,,,,
CB.01,COMMUNICATION : OBJETS PROMOTIONNELS COURANTS,C3,62380000,,,,,,,,
CB.02,COMMUNICATION : CADEAUX,C3,62380000,,,,,,,,
CB.03,COMMUNICATION : MATERIEL ET EQUIPEMENTS POUR MANIFESTATIONS EVENEMENTIELLES,C3,60630000,61350000,61220000,21540001,23150001,,,,
CB.1,COMMUNICATION : ORGANISATION DE MANIFESTATIONS EVENEMENTIELLES,,,,,,,,,,
CB.11,COMMUNICATION : LOCATION ET RESERVATION D'ESPACES POUR MANIF. EVENEMENTIELLES,C2,61850000,,,,,,,,
CB.12,"COMMUNICATION : ORGANISATION DE COLLOQUES, CONGRES ET SEMINAIRES",C2,61850000,,,,,,,,
CB.13,"COMM : ORGANISATION ET REALISATION DE SALONS, EXPOSITIONS ET FOIRES",C2,61850000,,,,,,,,
CB.14,COMMUNICATION : SERVICES DE BILLETTERIE POUR MANIFESTATIONS EVENEMENTIELLES,C2,61850000,,,,,,,,
CB.15,COMMUNICATION : ORGANISATION D'AUTRES MANIFESTATIONS EVENEMENTIELLES,C2,61850000,,,,,,,,
CB.2,COMMUNICATION : PRESTATIONS ASSOCIEES AUX MANIFESTATIONS EVENEMENTIELLES,,,,,,,,,,
CB.21,COMMUNICATION : TRAITEURS POUR MANIFESTATIONS EVENEMENTIELLES,C2,61850000,,,,,,,,
CB.22,COMMUNICATION : RESTAURATION POUR MANIFESTATIONS EVENEMENTIELLES,C2,61850000,,,,,,,,
CB.23,COMMUNICATION : HEBERGEMENT POUR MANIFESTATIONS EVENEMENTIELLES,C2,61850000,,,,,,,,
CB.24,COMMUNICATION : PROMOTION DE MANIFESTATIONS EVENEMENTIELLES,C3,62380000,,,,,,,,
CB.25,COMMUNICATION : AUTRES PRESTATIONS ASSOCIEES AUX MANIFESTATIONS EVENEMENTIELLES,C2,61850000,,,,,,,,
CC,COMMUNICATION : SERVICES POUR LA COMMUNICATION,,,,,,,,,,
CC.0,COMMUNICATION : SERVICES DE TRAITEMENT DE L'INFORMATION,,,,,,,,,,
CC.01,COMMUNICATION : VEILLE DES MEDIAS TRADITIONNELS,C3,62380000,,,,,,,,
CC.02,COMMUNICATION : VEILLE DES MEDIAS INTERNET,C3,62380000,,,,,,,,
CC.03,RELATIONS PRESSE,C3,62370000,,,,,,,,
CC.1,COMMUNICATION : SERVICES DE CONSEIL EN COMMUNICATION,,,,,,,,,,
CC.11,COMM : SERVICES DE CONSEIL ET D'ACCOMPAGNEMENT DE CAMPAGNES DE COMMUNICATION,C3,62380000,,,,,,,,
CC.12,COMMUNICATION : SERVICES DE CONSEIL EN IDENTITE VISUELLE,C3,62380000,,,,,,,,
CC.13,COMMUNICATION : SERVICES DE CONSEIL EN IMAGE DES PERSONNES,C3,62380000,,,,,,,,
CC.14,COMMUNICATION : SERVICES DE MEDIATRAINING,C3,62380000,,,,,,,,
CC.15,COMMUNICATION : AUTRES SERVICES DE CONSEIL EN COMMUNICATION ET PUBLICITE,C3,62380000,,,,,,,,
CC.2,COMMUNICATION : AUTRES SERVICES DE COMMUNICATION,,,,,,,,,,
CC.21,COMMUNICATION : ACHAT D'ESPACES PUBLICITAIRES ,C3,62380000,,,,,,,,
CC.22,"COMMUNICATION : ETUDES, SONDAGES ET ENQUETES DE COMMUNICATION",C3,62380000,,,,,,,,
CC.23,COMMUNICATION : AUTRES SERVICES DE COMMUNICATION,C3,62380000,,,,,,,,
CD,CULTURE,,,,,,,,,,
CD.0,CULTURE : ŒUVRES ET OBJETS D'ART ,,,,,,,,,,
CD.01,CULTURE : ŒUVRES ET OBJETS D'ART EXISTANTS,A4,,,,21600001,,,,,
CD.02,CULTURE : REALISATION D'ŒUVRES ET OBJETS D'ART,A4,,,,21600001,23180001,,,,
CD.03,CULTURE: REPRODUCTION D'ŒUVRES ET OBJETS D'ART,A4,,,,21600001,,,,,
CD.1,CULTURE : REPRESENTATIONS ARTISTIQUES ET DE CIRQUE,,,,,,,,,,
CD.11,CULTURE : ACHATS DE REPRESENTATIONS ARTISTIQUES,A4,62880000,,,,,,,,
CD.12,CULTURE : PRESTATIONS ASSOCIEES AUX REPRESENTATIONS ARTISTIQUES,A4,62880000,,,,,,,,
CD.13,CULTURE : CONCEPTION-REALISATION DE DECORS POUR REPRESENTATIONS ARTISTIQUES,A4,62880000,,,,,,,,
CD.14,CULTURE : CONCEPTION-REALISATION DE COSTUMES POUR REPRESENTATIONS ARTISTIQUES,A4,62880000,,,,,,,,
CD.2,CULTURE : SERVICES DE CONSERVATION DU PATRIMOINE (HORS ARCHIVAGE),,,,,,,,,,
CD.21,"SERVICES DE GESTION, DE CONSERV. ET DE RESTAUR. DES COLLECTIONS DES MUSEES",A4,62880000,,,,,,,,
CD.22,SERVICES DE PRESERVATION DES SITES CLASSES OU INSCRITS,A4,62880000,,,,,,,,
CD.23,"SERVICES RELATIFS A LA PRESERVATION DES JARDINS, ZOOS ET RESERVES NATURELLES",A4,62880000,,,,,,,,
CD.24,AUTRES SERVICES DE CONSERVATION DU PATRIMOINE (HORS ARCHIVAGE),A4,62880000,,,,,,,,
CD.3,CULTURE : SERVICES CULTURELS,,,,,,,,,,
CD.31,CULTURE : SERVICES D'ANIMATION CULTURELLE,A4,62880000,,,,,,,,
CD.32,"SERVICES DE PARCS DE RECREATION, DE PLAGES, DE PARCS D'ATTRACTION",A4,62880000,,,,,,,,
CD.33,CULTURE : SERVICES DE MEDIATION CULTURELLE,A4,62880000,,,,,,,,
CD.34,CULTURE : AUTRES SERVICES SOCIO-CULTURELS,A4,62880000,,,,,,,,
CE,DOCUMENTATION : DOCUMENTS,,,,,,,,,,
CE.0,DOCUMENTATION : LIVRES,,,,,,,,,,
CE.01,DOCUMENTATION : LIVRES SCOLAIRES IMPRIMES DE TOUTES MATIERES,B11,61810000,,,,,,,,
CE.02,DOCUMENTATION : LIVRES SCOLAIRES ELECTRONIQUES DE TOUTES MATIERES,B11,61810000,,,,,,,,
CE.03,DOCUMENTATION : LIVRES NON SCOLAIRES IMPRIMES,B11,61810000,,,,,,,,
CE.04,DOCUMENTATION : LIVRES NON SCOLAIRES ELECTRONIQUES,B11,61810000,,,,,,,,
CE.05,DOCUMENTATION : LIVRES D'OCCASION ET EPUISES,B11,61810000,,,,,,,,
CE.06,DOCUMENTATION : LIVRES ANCIENS PUBLIES AVANT 1900,B11,61810000,,,,,,,,
CE.1,DOCUMENTATION : PERIODIQUES,,,,,,,,,,
CE.11,"DOCUMENT. : JOURNAUX, REVUES ET PERIODIQUES SCIENTIFIQUES (SUPPORT PAPIER)",B11,61810000,,,,,,,,
CE.12,"DOCUMENT. : JOURNAUX, REVUES ET PERIODIQUES NON SCIENTIFIQUES (SUPPORT PAPIER)",B11,61810000,,,,,,,,
CE.13,"DOCUMENT. : JOURNAUX, REVUES ET PERIODIQUES SCIENTIFIQUES (ELECTRONIQUES)",B11,61810000,,,,,,,,
CE.14,"DOCUMENT. : JOURNAUX, REVUES ET PERIODIQUES NON SCIENTIFIQUES (ELECTRONIQUES)",B11,61810000,,,,,,,,
CE.2,DOCUMENTATION : BASES DE DONNEES,,,,,,,,,,
CE.21,DOCUMENT. : DROIT D'ACCES A DES BASES DE DONNEES DOCUMENTAIRES SCIENTIFIQUES,B11,61810000,,,,,,,,
CE.22,DOCUMENT.: DROIT D'ACCES A DES BASES DE DONNEES DOCUMENTAIRES NON SCIENTIFIQUES,B11,61810000,,,,,,,,
CE.3,DOCUMENTATION : AUTRES DOCUMENTS (SUPPORT PAPIER OU ELECTRONIQUE),,,,,,,,,,
CE.31,DOCUMENTATION : PARTITIONS MUSICALES,B11,61810000,,,,,,,,
CE.32,"DOCUMENTATION : CARTES (GEOGRAPHIQUES, TOPOGRAPHIQUES…) ET GLOBES TERRESTRES",B11,61810000,,,,,,,,
CE.33,DOCUMENTATION : NORMES,B11,61810000,,,,,,,,
CE.34,DOCUMENTATION : AUTRES DOCUMENTS,B11,61810000,,,,,,,,
CE.4,DOCUMENTATION : IMAGES,,,,,,,,,,
CE.41,DOCUMENTATION : IMAGES FIXES,B11,61810000,,,,,,,,
CE.42,DOCUMENTATION : IMAGES ANIMEES SUR TOUT SUPPORT ,B11,61810000,,,,,,,,
CE.43,DOCUMENTATION : AUTRES IMAGES,B11,61810000,,,,,,,,
CE.5,DOCUMENTATION : ENREGISTREMENTS SONORES,,,,,,,,,,
CE.51,DOCUMENTATION : ENTREGISTREMENTS SONORES ,B11,61810000,,,,,,,,
CF,DOCUMENTATION : ARCHIVES,,,,,,,,,,
CF.0,DOCUMENTATION : ARCHIVES DE PERIODIQUES,,,,,,,,,,
CF.01,"DOC. : ARCHIVES DE JOURNAUX, REVUES ET PERIODIQUES SCIENTIFIQUES (PAPIER)",B11,61810000,,,,,,,,
CF.02,"DOC. : ARCHIVES DE JOURNAUX, REVUES ET PERIODIQUES NON SCIENTIFIQUES (PAPIER)",B11,61810000,,,,,,,,
CF.03,"DOC. : ARCHIVES DE JOURNAUX, REVUES ET PERIODIQUES SCIENTIFIQUES (ELECTRONIQUES)",B11,61810000,,,,,,,,
CF.04,"DOC. : ARCHIVES DE JOURNAUX, REVUES ET PERIODIQUES NON SCIENTIF. (ELECTRONIQUES)",B11,61810000,,,,,,,,
CF.1,DOCUMENTATION : ARCHIVES DE BASES DE DONNEES,,,,,,,,,,
CF.11,DOC. : DROIT D'ACCES A DES ARCHIVES DE BASES DE DONNEES DOCUMENTAIRES SCIENTIF.,B11,61810000,,,,,,,,
CF.12,DOC. : DROIT D'ACCES A DES ARCHIVES DE BASES DE DONNEES DOCUMENT. NON SCIENTIF.,B11,61810000,,,,,,,,
CF.2,DOCUMENTATION : ARCHIVES D'AUTRES DOCUMENTS IMPRIMES,,,,,,,,,,
CF.21,DOCUMENTATION : ARCHIVES DE PARTITIONS MUSICALES,B11,61810000,,,,,,,,
CF.22,"DOCUMENTATION : ARCHIVES DE CARTES (GEOGRAPHIQUES, TOPOGRAPHIQUES…)",B11,61810000,,,,,,,,
CF.23,DOCUMENTATION : ARCHIVES D'AUTRES DOCUMENTS IMPRIMES,B11,61810000,,,,,,,,
CF.3,DOCUMENTATION : ARCHIVES D'IMAGES,,,,,,,,,,
CF.31,DOCUMENTATION : ARCHIVES D'IMAGES FIXES ,B11,61810000,,,,,,,,
CF.32,DOCUMENTATION : ARCHIVES D'IMAGES ANIMEES SUR TOUT SUPPORT ,B11,61810000,,,,,,,,
CF.33,DOCUMENTATION : ARCHIVES D'AUTRES IMAGES,B11,61810000,,,,,,,,
CF.4,DOCUMENTATION : ARCHIVES D'ENREGISTREMENTS SONORES,,,,,,,,,,
CF.41,DOCUMENTATION : ARCHIVES D'ENTREGISTREMENTS SONORES ,B11,61810000,,,,,,,,
CG,DOCUMENTATION : BIBLIOTHEQUES ET MAGASINS D'ARCHIVES,,,,,,,,,,
CG.0,DOCUMENTATION : FOURNITURES ET EQUIPEMENTS DE BIBLIOTHEQUES ET DE MAGASINS D'ARCHIVES,,,,,,,,,,
CG.01,DOCUMENTATION : FOURNITURES ET EQUIPEMENTS DE CONSERVATION DE DOCUMENTS ,B11,60640000,,,21840001,,,,,
CG.1,DOCUMENTATION : MOBILIERS ET RANGEMENTS DE BIBLIOTHEQUES ET DE MAGASINS D'ARCHIVES,,,,,,,,,,
CG.11,DOCUMENTATION : MOBILIER DE RANGEMENT DE BIBLIOTHEQUES ET DE MAGASINS D'ARCHIVES,A2,60630000,,,21840001,,,,,
CG.12,DOCUMENTATION : MOBILIER POUR BIBLIOTHEQUES ET MAGASINS D'ARCHIVES,A2,60630000,,,21840001,,,,,
CG.2,DOCUMENTATION : MATERIEL DE NUMERISATION POUR BIBLIOTHEQUES ET MAGASINS D'ARCHIVES,,,,,,,,,,
CG.21,DOC : EQUIPEMENTS DE NUMERISATION POUR BIBLIOTHEQUES ET MAGASINS D'ARCHIVES,D3,60630000,,,21830001,,,,,
CG.3,REPARATION ET MAINTENANCE DES MOBILIERS ET EQUIPEMENTS DE BIBLIOTHEQUES ET MAGASINS D'ARCHIVES,,,,,,,,,,
CG.31,REPARATION ET MAINTENANCE DES MOBILIERS DE BIBLIOTHEQUES ET MAGASINS D'ARCHIVES,A2,61550000,,,,,,,,
CG.32,REPAR. ET MAINTENANCE DES EQUIPEMENTS DE BIBLIOTHEQUES ET MAGASINS D'ARCHIVES,A2,61550000,,,,,,,,
CH,DOCUMENTATION : SYSTEMES D'INFORMATION DOCUMENTAIRE ET D'ARCHIVAGE,,,,,,,,,,
CH.0,DOCUMENTATION : LOGICIELS D'INFORMATION DOCUMENTAIRE,,,,,,,,,,
CH.01,DOC : LOGICIELS STANDARDS DE GESTION DE BIBLIOTHEQUES,D3,60681000,,,20530001,23200001,,,,
CH.02,DOC : LOGICIELS SPECIFIQUES DE GESTION DE BIBLIOTHEQUES,D3,60681000,,,20530001,23200001,,,,
CH.03,DOC : LOGIC. STANDARDS D'ACCES AUX CONTENUS ET RESSOURCES DOCUMENT.,D3,60681000,,,20530001,23200001,,,,
CH.04,DOC : LOGIC. SPECIFIQUES D'ACCES AUX CONTENUS ET RESSOURCES DOCUMENT.,D3,60681000,,,20530001,23200001,,,,
CH.05,DOC : LOGIC. STANDARDS DE TRAITEMENT ET DE CATALOGAGE PARTAGE DE DOC.,D3,60681000,,,20530001,23200001,,,,
CH.06,DOC : LOGIC. SPECIFIQUES DE TRAITEMENT ET DE CATALOGAGE PARTAGE DE DOC.,D3,60681000,,,20530001,23200001,,,,
CH.07,DOC : AUTRES LOGICIELS STANDARDS DE GESTION DOCUMENTAIRE,D3,60681000,,,20530001,23200001,,,,
CH.08,DOCUMENTATION : AUTRES LOGICIELS SPECIFIQUES DE GESTION DOCUMENTAIRE,D3,60681000,,,20530001,23200001,,,,
CH.1,DOCUMENTATION : LOGICIELS DE GESTION D'ARCHIVAGE,,,,,,,,,,
CH.11,DOCUMENTATION : LOGICIELS STANDARDS DE GESTION D'ARCHIVAGE,D3,60681000,,,20530001,23200001,,,,
CH.12,DOCUMENTATION : LOGICIELS SPECIFIQUES DE GESTION D'ARCHIVAGE,D3,60681000,,,20530001,23200001,,,,
CH.2,DOCUMENTATION : MAINTENANCE DES LOGICIELS DE GESTION DOCUMENTAIRE,,,,,,,,,,
CH.21,DOC : MAINTENANCE LOGICIELS STANDARDS DE GESTION DE BIBLIOTHEQUES,D1,61550000,,,20530001,,,,,
CH.22,DOC. : MAINTENANCE LOGICIELS SPECIFIQUES DE GESTION DE BIBLIOTHEQUES,D1,61550000,,,20530001,,,,,
CH.23,DOC. : MAINTENANCE LOGIC. STANDARDS D'ACCES AUX CONTENUS ET RESSOURCES DOC.,D1,61550000,,,20530001,,,,,
CH.24,DOC. : MAINTENANCE LOGIC. SPECIFIQUES D'ACCES AUX CONTENUS ET RESSOURCES DOC.,D1,61550000,,,20530001,,,,,
CH.25,DOC. : MAINTENANCE LOGIC. STANDARDS DE TRAIT. ET DE CATALOGAGE PARTAGE DE DOC,D1,61550000,,,20530001,,,,,
CH.26,DOC. : MAINTENANCE LOGIC. SPECIFIQ. DE TRAIT. ET DE CATALOGAGE PARTAGE DE DOC,D1,61550000,,,20530001,,,,,
CH.27,DOC. : MAINTENANCE D'AUTRES LOGICIELS STANDARDS DE GESTION DOCUMENTAIRE,D1,61550000,,,20530001,,,,,
CH.28,DOC. : MAINTENANCE D'AUTRES LOGICIELS SPECIFIQUES DE GESTION DOCUMENTAIRE,D1,61550000,,,20530001,,,,,
CH.3,DOCUMENTATION : MAINTENANCE DES LOGICIELS DE GESTION D'ARCHIVES,,,,,,,,,,
CH.31,DOCUMENTATION : MAINTENANCE DES LOGICIELS STANDARDS DE GESTION D'ARCHIVES,D1,61550000,,,20530001,,,,,
CH.32,DOCUMENTATION : MAINTENANCE DES LOGICIELS SPECIFIQUES DE GESTION D'ARCHIVES,D1,61550000,,,20530001,,,,,
CI,DOCUMENTATION : SERVICES DE GESTION DOCUMENTAIRE ET D'ARCHIVAGE,,,,,,,,,,
CI.0,DOCUMENTATION : SERVICES DE GESTION DOCUMENTAIRE,,,,,,,,,,
CI.01,DOCUMENTATION : SERVICES DE NUMERISATION D'OUVRAGES ET DE DOCUMENTS,B11,62880000,,,,,,,,
CI.02,DOCUMENTATION : SERVICES DE NUMERISATION DE FONDS SONORES ET SOURCES AUDIO,B11,62880000,,,,,,,,
CI.03,DOCUMENTATION : SERVICES DE NUMERISATION DE FONDS AUDIOVISUELS,B11,62880000,,,,,,,,
CI.04,DOCUMENTATION : AUTRES SERVICES DE GESTION DOCUMENTAIRE,B11,62880000,,,,,,,,
CI.1,DOCUMENTATION : SERVICES D'ARCHIVAGE,,,,,,,,,,
CI.11,DOCUMENTATION : SERVICES D'ARCHIVAGE,B11,62880000,,,,,,,,
CI.12,DOCUMENTATION : SERVICES DE CONSEIL ET D'ASSISTANCE EN ARCHIVAGE TRADITIONNEL,B11,62880000,,,,,,,,
CI.13,DOCUMENTATION : SERVICES DE CONSEIL ET D'ASSISTANCE EN ARCHIVAGE ELECTRONIQUE,B11,62880000,,,,,,,,
CI.14,DOCUMENTATION : AUTRES SERVICES D'ARCHIVAGE,B11,62880000,,,,,,,,
D,DEPLACEMENTS : TRANSPORT ET HEBERGEMENT DES PERSONNES,,,,,,,,,,
DA,TRANSPORT DES PERSONNES,,,,,,,,,,
DA.0,SERVICES DE TRANSPORT PAR VOITURE,,,,,,,,,,
DA.01,SERVICES DE TAXI,C1,62560000,,,,,,,,
DA.02,LOCATION DE VEHICULES ROUTIERS SANS CHAUFFEUR (COURTE DUREE),C1,62560000,,,,,,,,
DA.1,MOYENS DE TRANSPORT DES PERSONNES ET FRAIS CONNEXES,,,,,,,,,,
DA.11,SERVICES DE TRANSPORT FERROVIAIRE DE PERSONNES,C1,62560000,,,,,,,,
DA.12,SERVICES DE TRANSPORT AERIEN DE PERSONNES,C1,62560000,,,,,,,,
DA.13,"SERVICES DE TRANSPORT MARITIME, FLUVIAL ET COTIER DE PERSONNES",C1,62560000,,,,,,,,
DA.14,SERVICES DE TRANSPORT COLLECTIF ROUTIER ET URBAIN DE PERSONNES,C1,62560000,,,,,,,,
DA.15,SERVICES DE TRANSPORT COLLECTIF ROUTIER ET URBAIN DES PERSONNES HANDICAPEES,C1,62560000,,,,,,,,
DA.16,"BILLETS DE TELEPHERIQUES, REMONTEES MECANIQUES OU FUNICULAIRES",C1,62560000,,,,,,,,
DA.17,PEAGES AUTOROUTE ET DROITS DE STATIONNEMENT,C1,62560000,,,,,,,,
DA.18,PRESTATIONS DE TRANSPORTS SANITAIRES ,F1,62470000,,,,,,,,
DA.19,PRESTATIONS DE TRANSPORTS FUNERAIRES,A4,,,,,,,,,
DB,HEBERGEMENT DES PERSONNES (HORS EVENEMENTIEL),,,,,,,,,,
DB.1,SERVICES D'HEBERGEMENT DES PERSONNES (HORS EVENEMENTIEL),,,,,,,,,,
DB.11,HEBERGEMENT EN HÔTEL (HORS EVENEMENTIEL),C1,62560000,,,,,,,,
DB.12,"HEBERGEMENT EN PENSION, DEMI-PENSION, REFUGE, CAMPING... (HORS EVENEMENTIEL)",C1,62560000,,,,,,,,
DC,SERVICES AUXILIAIRES AUX TRANSPORTS ET A L'HEBERGEMENT DE PERSONNES,,,,,,,,,,
DC.0,SERVICES DE RESERVATIONS PAR AGENCES OU CENTRALES,,,,,,,,,,
DC.01,SERVICES DE RESERVATIONS PAR AGENCES DE VOYAGE OU CENTRALES DE RESERVATION,C1,62560000,,,,,,,,
DC.1,AUTRES SERVICES AUXILIAIRES AUX TRANSPORTS,,,,,,,,,,
DC.11,SERVICES DE GESTION DES VISAS ET DES FORMALITES ADMINISTRATIVES                                                                                                ,C1,62560000,,,,,,,,
E,ETUDES - CONSEILS - ASSURANCES - PI - RESSOURCES HUMAINES,,,,,,,,,,
EA,ASSURANCES ET SERVICES EN ASSURANCE ,,,,,,,,,,
EA.0,"ASSURANCES DES VEHICULES (RESPONSABILITE CIVILE, DOMMAGES AUX VEHICULES, GARANTIES DU CONDUCTEUR)",,,,,,,,,,
EA.01,ASSURANCES DU PARC VEHICULES ROUTIER,C4,61600000,,,,,,,,
EA.02,ASSURANCES DE LA FLOTTE AERIENNE,C4,61600000,,,,,,,,
EA.03,"ASSURANCES DES VEHICULES MARITIMES, FLUVIAUX ET LACUSTRES",C4,61600000,,,,,,,,
EA.1,ASSURANCES D'AUTRES BIENS,,,,,,,,,,
EA.11,ASSURANCES DE BIENS IMMOBILIERS,E1,61600000,,,,,,,,
EA.12,ASSURANCES D'EQUIPEMENTS SCIENTIFIQUES,A4,61600000,,,,,,,,
EA.13,ASSURANCES DES MARCHANDISES TRANSPORTEES,A4,61600000,,,,,,,,
EA.14,ASSURANCES DES ANIMAUX,A4,61600000,,,,,,,,
EA.2,AUTRES SERVICES D'ASSURANCES ,,,,,,,,,,
EA.21,ASSURANCE RESPONSABILITE CIVILE,A4,61600000,,,,,,,,
EA.22,ASSURANCES RAPATRIEMENT DES AGENTS EN MISSION,A4,61600000,,,,,,,,
EA.23,ASSURANCES COUVERTURE SANTE / MUTUELLE,A4,61600000,,,,,,,,
EA.24,AUTRES ASSURANCES,A4,61600000,,,,,,,,
EA.3,SERVICES DE CONSEIL ET AUDIT EN ASSURANCE,,,,,,,,,,
EA.31,SERVICES DE CONSEIL ET AUDIT EN ASSURANCE,A4,62260000,,,,,,,,
EB,"SERVICES D'ETUDES, ASSISTANCES ET CONSEILS ",,,,,,,,,,
EB.0,SERVICES DE CONSEIL ET ETUDES,,,,,,,,,,
EB.01,ETUDES DE MARCHES DANS LE DOMAINE DE LA VALORISATION DE LA RECHERCHE,A4,61700000,,,,,,,,
EB.02,ASSISTANCE A MAITRISE D'OUVRAGE (HORS BATIMENTS ET SI - TELECOM),A4,62260000,,,,,,,,
EB.03,CONSEIL EN SECURITE (HORS CHANTIER) ET PROTECTION DES BIENS ET DES PERSONNES,E1,62260000,,,,,,,,
EB.04,AUTRES MISSIONS D'ETUDES ET DE CONSEIL (HORS BÂTIMENT),A4,62260000,,,,,,,,
EB.1,SERVICES D'AUDIT - CERTIFICATION - ACCREDITATION,,,,,,,,,,
EB.11,AUDIT ORGANISATIONNEL,A4,62260000,,,,,,,,
EB.12,AUDIT FINANCIER,A4,62260000,,,,,,,,
EB.13,CERTIFICATION LEGALE DES COMPTES,A4,62260000,,,,,,,,
EB.14,"AUDIT ENERGERTIQUE (ENVIRONNEMENTAL, BILAN CARBONE,…)",A4,62260000,,,,,,,,
EB.15,AUDIT HYGIENE ET SECURITE,B12,62260000,,,,,,,,
EB.16,AUTRES SERVICES D'AUDIT ET D'ACCREDITATION,A4,62260000,,,,,,,,
EB.2,SERVICES D'ENQUETES,,,,,,,,,,
EB.21,ENQUETES,A4,62880000,,,,,,,,
EB.22,SONDAGES,A4,62880000,,,,,,,,
EB.3,SERVICES FINANCIERS ET COMPTABLES,,,,,,,,,,
EB.31,SERVICES BANCAIRES,A4,62720000,,,,,,,,
EB.32,INTERMEDIATION FINANCIERE ET ACTIVITES DE CONSEIL,A4,62260000,,,,,,,,
EB.33,AUTRES SERVICES FINANCIERS ET COMPTABLES,A4,62780000,,,,,,,,
EB.4,SERVICES D'ADMINISTRATION D'IMMEUBLES,,,,,,,,,,
EB.41,SERVICES D'ADMINISTRATION D'IMMEUBLES ET FRAIS D'AGENCES IMMOBILIERES,E1,62260000,,,,,,,,
EB.5,SERVICES DE TRADUCTION ET D'INTERPRETARIAT,,,,,,,,,,
EB.51,SERVICES DE TRADUCTION,B11,62260000,,,,,,,,
EB.52,SERVICES D'INTERPRETARIAT,C2,61850000,,,,,,,,
EB.6,SERVICES JURIDIQUES,,,,,,,,,,
EB.61,SERVICES DE CONSEILS JURIDIQUES,A4,62260000,,,,,,,,
EB.62,SERVICES D'ETABLISSEMENT D'ACTES AUTHENTIQUES ET DES AUXILIAIRES DE JUSTICE,A4,62270000,,,,,,,,
EB.63,SERVICES DE REPRESENTATION JURIDIQUE,A4,62260000,,,,,,,,
EC,FORMATIONS ET GESTION DES RESSOURCES HUMAINES,,,,,,,,,,
EC.0,FORMATIONS D'ACCOMPAGNEMENT ET TESTS,,,,,,,,,,
EC.01,FORMATIONS D'ACCOMPAGNEMENT TECHNIQUES ET METIERS SCIENTIFIQUES,C1,62830000,,,,,,,,
EC.02,FORMATIONS D'ACCOMPAGNEMENT EN LANGUES,C1,62830000,,,,,,,,
EC.03,FORMATIONS D'ACCOMPAGNEMENT EN BUREAUTIQUE,C1,62830000,,,,,,,,
EC.04,FORMATIONS D'ACCOMPAGNEMENT EN PREVENTION ET SECURITE,C1,62830000,,,,,,,,
EC.05,"FORMATIONS D'ACCOMPAGNEMENT EN METHODES DE TRAVAIL (MANAGEMENT, SAVOIR ETRE,…)",C1,62830000,,,,,,,,
EC.06,FORMATIONS D'ACCOMPAGNEMENT DES FONCTIONS SUPPORT ET SOUTIEN,C1,62830000,,,,,,,,
EC.07,AUTRES FORMATIONS D'ACCOMPAGNEMENT,C1,62830000,,,,,,,,
EC.08,TESTS PROFESSIONNELS,,,,,,,,,,
EC.1,FORMATIONS PREPARATOIRES,,,,,,,,,,
EC.11,"FORMATIONS D'APPRENTISSAGE DE LA CONDUITE (AUTOMOBILE, BATEAU, AVION,…)",C1,62830000,,,,,,,,
EC.12,PREPARATIONS AUX CONCOURS,C1,62830000,,,,,,,,
EC.13,PREPARATIONS AUX EXAMENS PROFESSIONNELS,C1,62830000,,,,,,,,
EC.14,FORMATIONS D'INSERTION PROFESSIONNELLE,C1,62830000,,,,,,,,
EC.15,AUTRES FORMATIONS PREPARATOIRES,C1,62830000,,,,,,,,
EC.2,SERVICES DE GESTION DES RESSOURCES HUMAINES,,,,,,,,,,
EC.21,"BILANS DE COMPETENCES, VAE, QUALIFICATION, INSERTION PROFESSIONNELLE",C1,62830000,,,,,,,,
EC.22,AUDITS D'UNITES OU DE SERVICES,C1,62880000,,,,,,,,
EC.23,"ASSISTANCE, CONSEIL ET SERVICES EN RECRUTEMENT",A4,62840000,,,,,,,,
EC.24,"PSYCHOLOGUES, GRAPHOLOGUES",A4,62260000,,,,,,,,
EC.25,ORGANISATION DE CONCOURS,A4,62310000,,,,,,,,
EC.26,SERVICES D'AGENCES INTERIM,A4,62110000,,,,,,,,
EC.27,AUTRES SERVICES DE GESTION DES RESSOURCES HUMAINES,A4,,,,,,,,,
EC.3,SERVICES SOCIAUX,,,,,,,,,,
EC.31,SERVICES SOCIAUX DE CONSEIL EN ECONOMIE SOCIALE ET FAMILIALE ,F3,64717200,,,,,,,,
EC.32,SERVICES SOCIAUX D'HEBERGEMENT,F3,64780000,,,,,,,,
EC.33,SERVICES SOCIAUX DE REINSERTION,F3,64780000,,,,,,,,
EC.34,SERVICES SOCIAUX DE SOIN ET D'AIDE A DOMICILE,F3,64780000,,,,,,,,
